iter,loss,mssim,fsim,perceptual,identity,identity diff
0,4.2777786,0.56779665,0.3467442,3.4270968,0.3018842,0.6037684
10,1.543736,0.42384985,0.2561002,1.9684443,0.087955624,0.17591125
20,1.0185481,0.36653265,0.23371205,1.4961786,0.049440682,0.098881364
30,0.86034733,0.34614176,0.23336652,1.3820095,0.037965626,0.07593125
40,0.7789003,0.32093722,0.22486576,1.2662392,0.033457786,0.06691557
50,0.7332339,0.30980614,0.2235671,1.2412835,0.030607313,0.061214626
60,0.6836409,0.28920266,0.20871821,1.1830008,0.028501838,0.057003677
70,0.6632845,0.28603077,0.20856166,1.1616056,0.027073413,0.054146826
80,0.6393835,0.27622625,0.20342723,1.148628,0.026005894,0.052011788
90,0.6241494,0.27256826,0.20340407,1.118272,0.025042206,0.050084412
100,0.60415876,0.264249,0.1952517,1.0940037,0.024239838,0.048479676
110,0.5975023,0.2620739,0.19744897,1.0816283,0.023820817,0.047641635
120,0.5842158,0.25530604,0.18929946,1.0506763,0.023447901,0.046895802
130,0.5771665,0.25238112,0.18943533,1.040622,0.023101538,0.046203077
140,0.57530135,0.25333217,0.19040057,1.0451558,0.022846669,0.045693338
150,0.57040393,0.2516852,0.19008881,1.0325274,0.022582501,0.045165002
159,0.5714225,0.2547237,0.19291124,1.0431275,0.022355199,0.044710398
160,0.56849927,0.25288206,0.18974698,1.0315807,0.022331178,0.044662356
