iter,ms-ssim1,ms-ssim2,fsim1,fsim2,perceptual1,perceptual2
0,0.65089434,0.6082877,0.34064466,0.3523844,3.17838,3.4802628
10,0.46325207,0.44864464,0.2754578,0.28527296,2.019317,2.3343725
20,0.44043946,0.4160803,0.28555554,0.27866346,1.7412924,2.0685234
30,0.42622966,0.4054017,0.28161526,0.27385437,1.6449296,1.9941261
40,0.40585232,0.3925047,0.27907348,0.2692479,1.5900345,1.9195237
50,0.4036768,0.38722038,0.27946883,0.2686867,1.5746474,1.911196
60,0.39557207,0.3828851,0.27444434,0.2647655,1.509832,1.8442547
70,0.39467752,0.38217866,0.27414685,0.2638318,1.4887404,1.8391671
80,0.39304852,0.37622535,0.2704445,0.25997674,1.5044522,1.8361564
90,0.40178865,0.37147027,0.2768501,0.26076138,1.5115539,1.8295703
100,0.40332282,0.37308145,0.27186644,0.25518543,1.5338602,1.8487318
110,0.3955723,0.36845648,0.26927024,0.2555697,1.5071981,1.8300331
120,0.40011317,0.38194227,0.27532673,0.2639159,1.5350347,1.8577144
130,0.3969624,0.3873334,0.27069706,0.264333,1.5140631,1.8486694
140,0.39036465,0.38698506,0.27038342,0.26408988,1.5099049,1.8387494
150,0.39033806,0.38731503,0.27039713,0.26142317,1.4934176,1.83043
159,0.38569766,0.38775992,0.2730804,0.26948208,1.5151,1.8568149
160,0.3926735,0.37956214,0.26982498,0.2593863,1.5301186,1.8685434
